Longitude,Latitude
-1.344001429,54.23362226
-1.589198048,54.28979014
-1.563428158,54.34570825
-1.563365867,54.34577993
-1.563318672,54.34587861
-1.196347817,54.12089503
-1.081617627,54.4604792
-1.079128928,54.46070293
-1.082484382,54.46035097
-1.080243285,54.46054065
-1.078443409,54.46100327
-1.078942428,54.46076442
-1.079439828,54.46059745
-1.083914015,54.45988549
-1.079268752,54.46065906
-1.079857283,54.46055569
-1.078458631,54.46101238
-1.082325674,54.4584804
-1.080993443,54.45873092
-1.082815759,54.45932893
-1.079679557,54.46091383
-1.078808141,54.46124871
-1.079227822,54.46110811
-1.080012843,54.46118599
-1.080993443,54.45873092
-1.080834178,54.45895439
-1.454753978,54.46946914
-1.453897749,54.47004045
-1.455751081,54.45827572
-1.448084533,54.46517002
-1.407337427,54.26745531
-1.407245052,54.26747283
-1.452587499,54.47341367
-1.407337298,54.2674643
-1.443162779,54.47087223
-1.441722491,54.47126102
-1.417328134,54.2667041
-1.447119535,54.46465335
-1.42041913,54.26963989
-1.42041913,54.26963989
-1.420465066,54.2696491
-1.419785335,54.26994242
-1.419619976,54.26968998
-1.419574546,54.26964482
-1.452797542,54.46923563
-1.419012393,54.26921971
-1.455851674,54.46930333
-1.420397477,54.26351937
-1.420828075,54.26346752
-1.420041397,54.2626369
-1.418502191,54.25964567
-1.379400925,54.46302162
-1.419696547,54.25767419
-1.418979548,54.25735618
-1.418872735,54.25731073
-1.373984206,54.45909328
-1.370408225,54.45790638
-1.367536311,54.45808911
-1.345865455,54.44733301
-1.60164333,54.35965366
-1.601705228,54.35961792
-1.418796999,54.25723846
-1.418751078,54.25722925
-1.332646927,54.44938173
-1.418598345,54.25717459
-1.420133891,54.25713705
-1.341775585,54.45426687
-1.416488535,54.25765871
-1.416672963,54.25546668
-1.341481547,54.45432818
-1.601613075,54.35959964
-1.414820363,54.25188071
-1.339718857,54.46131058
-1.610528955,54.35895468
-1.320248187,54.46051965
-1.603388462,54.35900334
-1.398101653,54.25429694
-1.610188222,54.35593389
-1.319937158,54.46067068
-1.612319995,54.35831336
-1.320163231,54.46006083
-1.318348841,54.46063478
-1.31965079,54.46026465
-1.374213815,54.23938203
-1.318377501,54.46169542
-1.319899522,54.46014922
-1.318834979,54.46108688
-1.320520826,54.45989208
-1.318067353,54.46179253
-1.318114973,54.46171192
-1.317992019,54.46168426
-1.317898571,54.46173766
-1.317897376,54.46180955
-1.319175672,54.46100791
-1.319035803,54.46107003
-1.319152874,54.46052247
-1.319184021,54.46050468
-1.469723981,54.22290752
-1.534748925,54.28208811
-1.466242579,54.22289216
-1.467423148,54.22292434
-1.464446341,54.22302799
-1.537200392,54.28536892
-1.468938473,54.22316469
-1.53492647,54.28132488
-1.467368698,54.22358018
-1.465915874,54.22325021
-1.537169572,54.28537779
-1.323923882,54.46494397
-1.324092834,54.46498985
-1.536203689,54.28384624
-1.32404833,54.46488175
-1.465013215,54.22307544
-1.320774238,54.46415342
-1.535552026,54.28306184
-1.465967332,54.22282802
-1.32126256,54.46354504
-1.469061281,54.22315625
-1.535163408,54.28210768
-1.321002251,54.46342674
-1.534474696,54.28188933
-1.46773967,54.22335713
-1.464768294,54.22303841
-1.320940547,54.46342639
-1.320785886,54.46251782
-1.46745359,54.22294245
-1.320836774,54.46223951
-1.469018268,54.22292239
-1.320885281,54.46210497
-1.536256551,54.28461037
-1.320964788,54.46196162
-1.320997126,54.46187193
-1.536582229,54.28433301
-1.536143361,54.28374715
-1.320969398,54.46168305
-1.535793833,54.28341327
-1.320971926,54.46153028
-1.321006197,54.46132377
-1.320993745,54.46114395
-1.544964485,54.29310057
-1.321308722,54.46261962
-1.321500368,54.46222526
-1.321502003,54.46212641
-1.53639973,54.28417054
-1.321674208,54.46197459
-1.321605401,54.46147093
-1.32157767,54.46128204
-1.53475692,54.28137815
-1.321000139,54.46075754
-1.321657173,54.46113869
-1.321612829,54.46102161
-1.321416464,54.46076887
